,new_column,Last Name,Name,School,Researcher,Home Dept,Areas of expertise from webpage,Sub-Headings,Start Year,Depart Year,Profile,Keywords
124,none,Raubal,Martin Raubal, UCSB,Martin Raubal UCSB,Geography,"Cognitive Engineering for Geospatial Services, Cognitive semantic interoperability",GIScience,,2014.0,,
125,v5VGkXMAAAAJ,Roberts,Dar Roberts, UCSB,Dar Roberts UCSB,Geography,"Terrestrial ecosystems – Remote sensing of vegetation, geology, ecology, and ecophysiology",Landscape Ecology; Ecophysiology; LULCC,,,,
126,i5ZL1ywAAAAJ,Siegel,David Siegel, UCSB,David Siegel UCSB,Geography,Interdisciplinary marine science; global biogeochemistry; coastal processes; spatial ecology,Biological & Physical Oceanography; Marine & Spatial Ecology,,,,
127,QebCBSUAAAAJ,Sweeney,Stuart Sweeney, UCSB,Stuart Sweeney UCSB,Geography,Human-Environment Relations; spatial econometrics,Human Geography,,,,
128,8PNXV2wAAAAJ,Washburn,Libe Washburn, UCSB,Libe Washburn UCSB,Geography,"Coastal circulation, mesoscale processes, air-sea interaction, and interdisciplinary oceanography",Physical Oceanography,,2020.0,,
129,VGaoB64AAAAJ,Caylor,Kelly Caylor, UCSB,Kelly Caylor UCSB,Geography/Bren/ ERI,Ecohydrology,Hydrology; Ecosystem Ecology; Human-Environment; Food Systems; ,2016.0,,,
130,none,Carlson,Jean Carlson, UCSB,Jean Carlson UCSB,Physics,"Robustness, tradeoffs, and feedback in complex, highly connected systems.",Geophysics,,,,
131,FjU4kL0AAAAJ,Deshmukh,Ranjit Deshmukh, UCSB,Ranjit Deshmukh UCSB,Environmental Studies,"Energy systems and policy analysis; electricity sector planning, operations, and markets; geospatial analysis of energy resources; energy access in developing regions",Environmental Politics,2019.0,,,
132,none,Krintz,Chandra Krintz, UCSB,Chandra Krintz UCSB,Computer Science,"Programming systems, cloud computing and services, and the Internet of Things (IoT)",,2001.0,,,
133,d3FwJjMAAAAJ,O'Malley,Michelle O'Malley, UCSB,Michelle O'Malley UCSB,Chemical Engineering,"Bioengineering
Energy, Efficiency & Sustainability",,2018.0,,,
134,vNZ4mYoAAAAJ,Stevenson,Samantha Stevenson, UCSB,Samantha Stevenson UCSB,Bren School,"Climate Modeling, Drought, Oceanography, Climate Dynamics","Climate; Hydrology, Oceanography",2017.0,,,
